CaliQ,MSE,Dflt RC,Cst RC,PSNR
5,4.0405,73.97,74.79,42.0665
25,18.5024,91.99,92.16,35.4585
50,29.3218,95.13,95.40,33.4589
100,42.5616,97.03,97.44,31.8406
200,61.6399,98.14,98.62,30.2322
400,96.7062,98.76,99.28,28.2763
800,190.5826,99.00,99.52,25.3300
1600,565.1953,99.06,99.58,20.6088
