CaliQ,MSE,Dflt RC,Cst RC,PSNR
5,5.4414,50.52,54.35,40.7737
25,53.5281,80.01,80.47,30.8450
50,112.8314,86.78,86.98,27.6065
100,211.0088,91.59,91.79,24.8878
200,335.6835,94.78,95.09,22.8715
400,494.2033,96.67,97.06,21.1917
800,770.1291,97.88,98.33,19.2652
1600,1326.9561,98.59,99.09,16.9022
