CaliQ,MSE,Dflt RC,Cst RC,PSNR
5,1.4839,69.80,73.32,46.4167
25,28.1289,82.78,83.56,33.6393
50,76.7557,87.52,87.97,29.2797
100,160.8780,91.31,91.65,26.0658
200,279.4788,94.04,94.39,23.6673
400,450.8822,95.87,96.29,21.5902
800,756.0624,97.27,97.75,19.3452
1600,1309.6501,98.21,98.73,16.9593
