CaliQ,MSE,Dflt RC,Cst RC,PSNR
5,2.6953,65.24,67.26,43.8247
25,25.3178,83.74,84.12,34.0965
50,54.7316,89.11,89.34,30.7484
100,99.8829,93.07,93.31,28.1359
200,162.7949,95.79,96.18,26.0144
400,265.6922,97.53,98.01,23.8870
800,431.7228,98.53,99.03,21.7788
1600,820.3005,98.93,99.45,18.9911
