CaliQ,MSE,Dflt RC,Cst RC,PSNR
5,5.2748,42.00,47.11,40.9087
25,75.6069,73.78,74.88,29.3452
50,170.1067,83.12,83.56,25.8236
100,292.8969,89.20,89.43,23.4637
200,461.5129,93.17,93.40,21.4890
400,714.4806,95.83,96.20,19.5909
800,1128.7679,97.47,97.93,17.6048
1600,1853.4492,98.41,98.91,15.4510
