CaliQ,MSE,Dflt RC,Cst RC,SNR
5,5.3448,58.65,60.57,40.8515
25,45.3906,86.29,86.76,31.5611
50,64.1289,91.99,92.08,30.0603
100,86.2527,94.91,95.01,28.7731
200,123.2532,96.77,97.02,27.2228
400,189.2208,97.89,98.26,25.3611
800,341.6239,98.53,98.98,22.7953
1600,726.3432,98.86,99.36,19.5194
