CaliQ,D MSE,D RC,D PSNR,D SSIM,C MSE,C RC,C PSNR,C SSIM
5,2.6953,65.24,43.82,0.9997,2.6953,67.26,43.82,0.9997
25,25.3178,83.74,34.10,0.9973,25.3178,84.12,34.10,0.9973
50,54.7316,89.11,30.75,0.9942,54.7316,89.34,30.75,0.9942
100,99.8829,93.07,28.14,0.9896,99.8829,93.31,28.14,0.9896
200,162.7949,95.79,26.01,0.9829,162.7949,96.18,26.01,0.9829
400,265.6922,97.53,23.89,0.9722,265.6922,98.01,23.89,0.9722
800,431.7228,98.53,21.78,0.9540,431.7228,99.03,21.78,0.9540
1600,820.3005,98.93,18.99,0.9092,820.3005,99.45,18.99,0.9092
