CaliQ,MSE,Dflt RC,Cst RC,SNR
5,2.4707,75.54,76.41,44.2026
25,13.3729,90.23,90.39,36.8686
50,22.1826,93.53,93.64,34.6707
100,35.4442,95.82,95.97,32.6353
200,60.3265,97.36,97.66,30.3257
400,109.1351,98.27,98.67,27.7512
800,216.8962,98.75,99.23,24.7683
1600,500.0293,98.97,99.48,21.1408
