CaliQ,D MSE,D RC,D PSNR,D SSIM,C MSE,C RC,C PSNR,C SSIM
5,5.2748,42.00,40.91,0.9969,5.2748,47.11,40.91,0.9969
25,75.6069,73.78,29.35,0.9757,75.6069,74.88,29.35,0.9757
50,170.1067,83.12,25.82,0.9550,170.1067,83.56,25.82,0.9550
100,292.8969,89.20,23.46,0.9292,292.8969,89.43,23.46,0.9292
200,461.5129,93.17,21.49,0.8924,461.5129,93.40,21.49,0.8924
400,714.4806,95.83,19.59,0.8365,714.4806,96.20,19.59,0.8365
800,1128.7679,97.47,17.60,0.7456,1128.7679,97.93,17.60,0.7456
1600,1853.4492,98.41,15.45,0.6092,1853.4492,98.91,15.45,0.6092
