CaliQ,D MSE,D RC,D PSNR,D SSIM,C MSE,C RC,C PSNR,C SSIM
5,4.0405,73.97,42.07,0.9958,4.0405,74.79,42.07,0.9958
25,18.5024,91.99,35.46,0.9828,18.5024,92.16,35.46,0.9828
50,29.3218,95.13,33.46,0.9742,29.3218,95.40,33.46,0.9742
100,42.5616,97.03,31.84,0.9637,42.5616,97.44,31.84,0.9637
200,61.6399,98.14,30.23,0.9501,61.6399,98.62,30.23,0.9501
400,96.7062,98.76,28.28,0.9262,96.7062,99.28,28.28,0.9262
800,190.5826,99.00,25.33,0.8704,190.5826,99.52,25.33,0.8704
1600,565.1953,99.06,20.61,0.6920,565.1953,99.58,20.61,0.6920
