CaliQ,MSE,Dflt RC,Cst RC,PSNR,SSIM
5,5.2748,42.00,47.11,40.9087,0.9969
25,75.6069,73.79,74.88,29.3452,0.9759
50,170.1067,83.12,83.55,25.8236,0.9553
100,292.8969,89.20,89.43,23.4637,0.9296
200,461.5129,93.17,93.40,21.4890,0.8930
400,714.4806,95.83,96.20,19.5909,0.8374
800,1128.7679,97.47,97.93,17.6048,0.7468
1600,1853.4492,98.42,98.91,15.4510,0.6107
