CaliQ,D MSE,D RC,D PSNR,D SSIM,C MSE,C RC,C PSNR,C SSIM
5,0.2552,98.75,54.06,0.9997,0.2552,99.35,54.06,0.9997
25,0.2552,98.84,54.06,0.9997,0.2552,99.40,54.06,0.9997
50,0.7344,98.89,49.47,0.9989,0.7344,99.42,49.47,0.9989
100,2.1823,98.93,44.74,0.9991,2.1823,99.45,44.74,0.9991
200,5.8229,98.96,40.48,0.9736,5.8229,99.48,40.48,0.9736
400,13.0781,99.00,36.97,0.9731,13.0781,99.50,36.97,0.9731
800,45.7083,99.02,31.53,0.9679,45.7083,99.52,31.53,0.9679
1600,351.2865,99.05,22.67,0.8480,351.2865,99.55,22.67,0.8480
