CaliQ,D MSE,D RC,D PSNR,D SSIM,C MSE,C RC,C PSNR,C SSIM
5,5.4414,50.52,40.77,0.9959,5.4414,54.35,40.77,0.9959
25,53.5281,80.01,30.84,0.9690,53.5281,80.47,30.84,0.9690
50,112.8314,86.78,27.61,0.9425,112.8314,86.98,27.61,0.9425
100,211.0088,91.59,24.89,0.9041,211.0088,91.79,24.89,0.9041
200,335.6835,94.78,22.87,0.8567,335.6835,95.09,22.87,0.8567
400,494.2033,96.67,21.19,0.7920,494.2033,97.06,21.19,0.7920
800,770.1291,97.88,19.27,0.6984,770.1291,98.33,19.27,0.6984
1600,1326.9561,98.59,16.90,0.4776,1326.9561,99.09,16.90,0.4776
