CaliQ,MSE,Dflt RC,Cst RC,PSNR,SSIM
5,1.4839,69.81,73.32,46.4167,0.9995
25,28.1289,82.79,83.56,33.6393,0.9907
50,76.7557,87.52,87.97,29.2797,0.9758
100,160.8780,91.31,91.65,26.0658,0.9506
200,279.4788,94.05,94.39,23.6673,0.9150
400,450.8822,95.88,96.29,21.5902,0.8641
800,756.0624,97.27,97.75,19.3452,0.7784
1600,1309.6501,98.21,98.73,16.9593,0.6366
